ANO_ELEICAO,NR_ZONA,BAIRRO,SQ_CANDIDATO,NM_CANDIDATO,NM_PARTIDO,QT_VOTOS_NOMINAIS,DS_SIT_TOT_TURNO,ENDEREÇO,total_votos,proporcao
2016,218,CASCADURA,190000011337,FELIPE MICHEL,Partido da Social Democracia Brasileira,47,ELEITO POR QP,"RUA SIDÔNIO PAIS, 54, LOJAS 4 E 5",7341,0.006402397493529492
2016,118,CASCADURA,190000011374,MARIA TERESA BERGHER,Partido da Social Democracia Brasileira,44,ELEITO POR QP,"AV. DOM HELDER CAMARA, 10.121",21995,0.0020004546487838145
2016,192,PORTUGUESA,190000010031,ROOSEVELT BARRETO BARCELOS,Partido Ecológico Nacional,38,ELEITO POR QP,RUA ORCADAS 435 - SALA 12 - XX RA (SUPERINTENDÊNCIA REGIONAL DA ILHA),8954,0.004243913334822426
2016,167,IRAJÁ,190000010031,ROOSEVELT BARRETO BARCELOS,Partido Ecológico Nacional,89,ELEITO POR QP,"RUA ITAPERA, 500 LOJAS 150 A 153 (VIA BRASIL SHOPPING)",8954,0.009939691757873577
2016,10,PIEDADE,190000007443,LEANDRO LYRA BRAGA DOGNINI,Partido Novo,114,ELEITO POR QP,"RUA ASSIS CARNEIRO, 436",16760,0.006801909307875895
2016,4,JARDIM BOTÂNICO,190000007443,LEANDRO LYRA BRAGA DOGNINI,Partido Novo,1298,ELEITO POR QP,RUA JARDIM BOTÂNICO 1060,16760,0.07744630071599046
2016,120,CAMPO GRANDE,190000012659,MARCELLO MORAES SICILIANO,Partido Humanista da Solidariedade,97,ELEITO POR QP,RUA TAQUAREMBÓ S/N- 2 ANDAR (REGIONAL DE CAMPO GRANDE),10535,0.009207403891789274
2016,219,CASCADURA,190000024880,JONES BARBOSA DE MOURA,Partido Social Democrático,208,ELEITO POR QP,"RUA SIDÔNIO PAES, 54 LOJA 06",8086,0.02572347266881029
2016,191,ILHA DO GOVERNADOR,190000011861,OTONI MOURA DE PAULO JUNIOR,Partido Social Cristão,578,ELEITO POR QP,"ESTRADA DA CACUIA, 1574",5939,0.09732278161306618
2016,4,JARDIM BOTÂNICO,190000011816,CLAUDIO BONFIM DE CASTRO E SILVA,Partido Social Cristão,106,ELEITO POR QP,RUA JARDIM BOTÂNICO 1060,6304,0.01681472081218274
2016,230,JARDIM SULACAP,190000011861,OTONI MOURA DE PAULO JUNIOR,Partido Social Cristão,59,ELEITO POR QP,"AV. MARECHAL FONTENELE, 3545, PARQUE SHOPPING SULACAP, TÉRREO",5939,0.009934332379188416
2016,234,JARDIM SULACAP,190000011816,CLAUDIO BONFIM DE CASTRO E SILVA,Partido Social Cristão,43,ELEITO POR QP,"AV. MARECHAL FONTENELLE, 3.545, TÉRREO - PARQUE SHOPPING SULACAP",6304,0.006821065989847715
2016,120,CAMPO GRANDE,190000011816,CLAUDIO BONFIM DE CASTRO E SILVA,Partido Social Cristão,120,ELEITO POR QP,RUA TAQUAREMBÓ S/N- 2 ANDAR (REGIONAL DE CAMPO GRANDE),6304,0.01903553299492386
2016,17,JARDIM BOTÂNICO,190000011815,CARLOS NANTES BOLSONARO,Partido Social Cristão,843,ELEITO POR QP,RUA JARDIM BOTÂNICO 1060,65123,0.012944735346958832
2016,22,IRAJÁ,190000011815,CARLOS NANTES BOLSONARO,Partido Social Cristão,1208,ELEITO POR QP,"RUA ITAPERA, 500, SHOPPING VIA BRASIL, LOJAS 150 E 151",65123,0.018549513996591067
2016,123,DEODORO,190000009372,JOSE RENATO CARDOZO MOURA,Partido Democrático Trabalhista,19,ELEITO POR QP,RUA FERNÃO DIAS S/N,8919,0.002130283664087902
2016,25,SANTA CRUZ,190000009372,JOSE RENATO CARDOZO MOURA,Partido Democrático Trabalhista,74,ELEITO POR QP,PRAÇA DA SUPERINTENDÊNCIA 420,8919,0.008296894270658146
2016,246,SANTA CRUZ,190000009372,JOSE RENATO CARDOZO MOURA,Partido Democrático Trabalhista,345,ELEITO POR QP,RUA MARTINHO DE CAMPOS S/N  POSTO AGRÍCOLA,8919,0.038681466532122434
2016,23,MARECHAL HERMES,190000009372,JOSE RENATO CARDOZO MOURA,Partido Democrático Trabalhista,73,ELEITO POR QP,RUA JOAO VICENTE 1545,8919,0.008184774077811414
2016,219,CASCADURA,190000005654,CESAR EPITÁCIO MAIA,Democratas,474,ELEITO POR QP,"RUA SIDÔNIO PAES, 54 LOJA 06",40318,0.011756535542437621
2016,17,JARDIM BOTÂNICO,190000005647,ALEXANDRE ISQUIERDO MOREIRA,Democratas,54,ELEITO POR QP,RUA JARDIM BOTÂNICO 1060,13530,0.003991130820399113
2016,17,JARDIM BOTÂNICO,190000005654,CESAR EPITÁCIO MAIA,Democratas,1029,ELEITO POR QP,RUA JARDIM BOTÂNICO 1060,40318,0.02552209931048167
2016,243,SANTA CRUZ,190000005654,CESAR EPITÁCIO MAIA,Democratas,430,ELEITO POR QP,RUA MARTINHO DE CAMPOS S/N,40318,0.01066521156803413
2016,229,MARACANÃ,190000005650,CARLO FERREIRA DE CAIADO CASTRO,Democratas,143,ELEITO POR QP,"AV. PROFESSOR MANOEL DE ABREU, 286",21743,0.006576829324380261
2016,242,CAMPO GRANDE,190000005650,CARLO FERREIRA DE CAIADO CASTRO,Democratas,161,ELEITO POR QP,AV. CESARIO DE MELLO 3963,21743,0.007404681966609944
2016,21,OLARIA,190000005654,CESAR EPITÁCIO MAIA,Democratas,494,ELEITO POR QP,RUA FILOMENA NUNES 971,40318,0.012252591894439209
2016,10,PIEDADE,190000005654,CESAR EPITÁCIO MAIA,Democratas,904,ELEITO POR QP,"RUA ASSIS CARNEIRO, 436",40318,0.02242174711047175
2016,169,SAUDE,190000007100,LUIS ANTONIO DA COSTA RAMOS,Partido Trabalhista Nacional,34,ELEITO POR QP,"RUA SACADURA CABRAL, 226, FUNDOS",5595,0.0060768543342269886
2016,16,LARANJEIRAS,190000007100,LUIS ANTONIO DA COSTA RAMOS,Partido Trabalhista Nacional,25,ELEITO POR QP,RUA CONDE DE BAEPENDI N 40,5595,0.004468275245755138
2016,123,DEODORO,190000003607,VERA LUCIA FERREIRA LINS,Partido Progressista,88,ELEITO POR QP,RUA FERNÃO DIAS S/N,20918,0.004206903145616216
2016,122,CAMPO GRANDE,190000003607,VERA LUCIA FERREIRA LINS,Partido Progressista,80,ELEITO POR QP,"ESTRADA RIO-SÃO PAULO, 176, CAMPO GRANDE",20918,0.0038244574051056507
2016,229,MARACANÃ,190000012844,ROSA MARIA ORLANDO FERNANDES,Partido do Movimento Democrático Brasileiro,94,ELEITO POR QP,"AV. PROFESSOR MANOEL DE ABREU, 286",31269,0.003006172247273658
2016,8,DEL CASTILHO,190000012854,JOAO FRANCISCO INACIO BRAZAO,Partido do Movimento Democrático Brasileiro,40,ELEITO POR QP,"AVENIDA DOM HÉLDER CÂMARA, 4175",19947,0.002005314082318143
2016,25,SANTA CRUZ,190000012857,JAIRO SOUZA SANTOS JUNIOR,Partido do Movimento Democrático Brasileiro,85,ELEITO POR QP,PRAÇA DA SUPERINTENDÊNCIA 420,12587,0.006752999126082466
2016,211,JARDIM BOTÂNICO,190000012857,JAIRO SOUZA SANTOS JUNIOR,Partido do Movimento Democrático Brasileiro,12,ELEITO POR QP,"RUA JARDIM BOTÂNICO, N.1060",12587,9.533645825057599e-4
2016,180,TAQUARA,190000012847,THIAGO KWIATKOWSKI RIBEIRO,Partido do Movimento Democrático Brasileiro,759,ELEITO POR QP,"RUA GODOFREDO VIANA, 400",14736,0.05150651465798046
2016,9,BARRA DA TIJUCA,190000012851,JORGE MIGUEL FELIPPE,Partido do Movimento Democrático Brasileiro,465,ELEITO POR QP,AV AYRTON SENNA 2001 BLOCO C,18661,0.02491827876319597
2016,216,DEL CASTILHO,190000012851,JORGE MIGUEL FELIPPE,Partido do Movimento Democrático Brasileiro,188,ELEITO POR QP,AV DOM HELDER CAMARA 4175 - 2 ANDAR,18661,0.010074486897808264
2016,9,BARRA DA TIJUCA,190000012849,RAFAEL ALOISIO FREITAS,Partido do Movimento Democrático Brasileiro,212,ELEITO POR QP,AV AYRTON SENNA 2001 BLOCO C,11497,0.018439592937287988
