Zona,Bairro
106,"ESTRADANOVA"
106,BNH
106,"CIDADENOVA"
107,"CIDADENOVA"
107,CENTRO
107,VINHOSA
107,"PRESIDENTE COSTA ESILVA"
107,"GOVERNADORROBERTOSILVEIRA"
107,"BOAFORTUNA"
107,"AEROPORTO"
107,NITERÓI
107,"SÃOFRANCISCO"
107,"FRIGORÍFICO"
107,AVAÍ
107,ARÉ
107,"CÓRREGODA CHICA"
107,ITAJARA
107,"SÃOSEBASTIÃODA BOAVISTA"
107,"COMENDADORVENÂNCIO"
107,RAPOSO
107,"RETIRO DOMURIAÉ"
107,"BOAVENTURA"
107,"SÃOMATHEUS"
107,"NOSSASENHORADA PENHA"
107,SURUBI
107,TOYAMA
107,"MATADOURO"
107,"HORTOFLORESTAL"
107,"SANTAMARIA"
107,"CAMPOGRANDE"
107,"CRUZ DAMOÇA"
107,"CÓRREGOSÊCO"
108,CENTRO
108,LÍDICE
108,"SAO JOAOMARCOS"
108,"PASSATRÊS"
108,"FAZENDADA GRAMA"
108,"GETULÂNDIA"
108,"POUSOSECO"
109,CENTRO
109,"PRAIACAMPISTA"
109,"CORREGODO OURO"
109,IMBETIBA
109,BOTAFOGO
109,"CACHOEIROS DE MACAE"
109,TRAPICHE
109,SANA
109,"RIVIERAFLUMINENSE"
109,MIRAMAR
109,"VISCONDEDE ARAUJO"
109,GLICERIO
109,FRADE
109,"COSTA DOSOL"
109,"CAVALEIROS"
109,IMBOASSICA
109,"BICUDAPEQUENA"
109,"NOVOCAVALEIROS"
109,"CAMPO DOOESTE"
109,"VIRGEMSANTA"
109,GLORIA
109,HORTO
110,CENTRO
110,"TÊNISCLUBE"
110,PIEDADE
110,FIGUEIRA
110,"NOVAMARILIA"
110,SURUI
110,"SANTADALILA"
110,"COVANCA -SURUI"
110,"JARDIM DAPAZ"
110,MAUA
110,IPIRANGA
110,"PRAIA DOANIL"
110,OLARIA
110,"PRAIA DEOLARIA"
110,BARBUDA
110,"BARÃO DOIRIRI"
110,LEQUE AZUL
110,"PARQUEBONEVILLE"
110,"SAOFRANCISCO"
110,"BAIABRANCA"
110,"RIO DOOURO"
110,VILA INCA
110,SACO
110,JORORÓ
110,"PARQUEIRIRI"
110,"JARDIMESMERALDA"
110,CAPELA
110,"ANDORINHAS"
110,"SANTOALEIXO"
110,"BNH -GANDE"
110,"CITROLÂNDIA"
111,BENFICA
111,BIQUINHA
111,CAMBOTA
111,CENTRO
111,FATIMA
111,CHACRINHA
111,"PONTEFUNDA"
111,"MONTED'OURO"
111,PASSAGEM
111,QUIRINO
111,"BARÃO DEJUPARANÃ"
111,"SANTAISABEL"
111,SÃO BENTO
111,PENTAGNA
111,"SANTAIGNACIA"
111,PARAPEUNA
111,"ALBERTOFURTADO"
111,"CONSERVATORIA"
111,"PEDROCARLOS"
111,CANTEIRO
111,"SÃOFRANCISCO"
111,PARAISO
111,"LOTEAMENTO RANCHONOVO"
111,APARECIDA
111,"SÃO JOSÉDASPALMEIRAS"
111,"JARDIMVALENÇA"
111,OSÓRIO
111,"SERRA DAGLORIA"
111,CHAVES
111,"JOÃOBONITO"
111,"SANTACRUZ"
111,VARGINHA
111,"PARQUEPENTAGNA"
111,"MANUELDUARTE"
111,TABOAS
111,COMÉRCIO
111,"ABARRACAMENTO"
111,TRÊS ILHAS
112,CENTRO
112,"SANTATEREZA"
112,"PARAÍSO DOTOBIAS"
112,"VENDA DASFLORES"
112,RODAGEM
112,NOVA LAJE
112,"CHACARADOCRUZEIRO"
116,CENTRO
116,SAO BENTO
116,"PARQUEDASPALMEIRAS"
116,BALNEÁRIO
116,"ILHA DAGIPOIA"
116,BONFIM
116,VILA VELHA
116,CAMORIM
116,MARINAS
116,"SAPINHATUBA I"
116,"CAMORIMPEQUENO"
116,"JACUECANGA"
116,CAPUTERA
116,MONSUABA
116,"GARATUCAIA"
116,"PORTOGALO"
118,"CAVALCANTI"
118,"ENGENHEIRO LEAL"
118,MADUREIRA
118,VAZ LOBO
118,"TOMÁSCOELHO"
118,"VICENTE DECARVALHO"
118,"CASCADURA"
118,"OSWALDOCRUZ"
119,"BARRA DATIJUCA"
119,"ALTO DABOA VISTA"
119,ITANHANGÁ
119,"FREGUESIAJPA"
120,"SENADORVASCONCELOS"
120,"CAMPOGRANDE"
122,"SENADORVASCONCELOS"
122,"CAMPOGRANDE"
122,SANTÍSSIMO
123,ANCHIETA
123,"RICARDODEALBUQUERQUE"
123,DEODORO
123,"PARQUEANCHIETA"
123,REALENGO
123,"MAGALHÃESBASTOS"
125,"SANTACRUZ"
126,"CAMPOSELÍSEOS"
126,"JARDIMPRIMAVERA"
126,CAPIVARI
126,FIGUEIRA
126,"SARACURUNA"
126,"VILA MARIAHELENA"
127,"SANTALÚCIA"
127,IMBARIÊ
127,VILA EMA
127,"JARDIMANHANGÁ"
127,"PARADAANGÉLICA"
127,"PARQUEEQUITATIVA"
127,"PARQUEPAULISTA"
127,"NOVACAMPINAS"
127,TAQUARA
127,"CRISTÓVÃOCOLOMBO"
127,"JARDIMBARROBRANCO"
127,"JARDIMROTSEN"
127,"PARADAMORABI"
128,"FRANGODOURADO"
128,"PARQUEELDORADO"
128,"SANTACRUZ DASERRA"
128,XERÉM
128,"MANTIQUIRA"
128,"SANTOANTONIO"
128,"VILACANAAN"
128,"VILABONANÇA"
128,"JARDIM SAOLOURENCO"
128,"CHACARASARCAMPO"
128,BARREIRO
129,URURAI
129,"USINA DOQUEIMADO"
129,CARVAO
129,"USINASANTACRUZ"
129,CANTAGALO
129,ITERERE
129,"PONTA DALAMA"
129,"CAIXETA -IBITIOCA 10oDISTRITO"
129,TAPERA
129,"PARQUEFUNDAO"
129,"PARQUESÃO JOSE"
129,"PARQUEGUARUS"
129,"USINASAPUCAIA"
129,"PARQUESANTAHELENA"
129,"PARQUECIDADE LUZ"
129,"MORANGABA"
129,"MOCOTODO IMBE"
129,"LAGOA DECIMA"
129,"SANTOAMARO -FAZENDAAGUA FRIA"
129,"PENHA -FAZENDACHALITA"
129,IBITIOCA
129,"DORES DEMACABU"
129,GURIRI
129,SERRINHA
129,QUILOMBO
129,"PERNAMBUCA"
129,"TRESVENDAS"
129,"PARQUEALDEIA"
129,"PARQUELEBRET"
129,"PARQUESÃOMATEUS"
129,"PARQUESAOMATEUS"
129,"CONCEIÇÃODO IMBE"
130,GARGAU
130,"BOMJARDIM"
130,"CAMPONOVO"
130,ESTREITO
130,GUAXINDIBA
130,FLORESTA
130,"IMBURI DECAMPOS"
130,MACUCO
130,"MORROALEGRE"
130,"PINGOD'AGUA"
130,"PONTO DECACIMBAS"
130,CENTRO
130,AMONTADO
130,"BARRA DOITABAPOANA"
130,"COREIA DOSUL"
130,BOM LUGAR
130,"BREJOGRANDE"
130,BUENA
130,GUARIXIMA
130,"TRAVESSAODE BARRA"
130,BOA SORTE
130,"CARRAPATO"
130,"DESERTOFELIZ"
130,"LADEIRADASPEDRAS"
130,"PRACAJOAOPESSOA"
130,"SANTALUZIA"
130,"VALAOSECO"
130,SOSSEGO
130,BOA VISTA
130,ARUEIRA
130,"SANTOAMARO"
130,"SANTACLARA"
130,"ALEGRIADOS ANJOS"
130,"MORRO DOBODE"
131,"VILA SANTACECÍLIA"
131,"TANGERINAL"
131,CONFORTO
131,EUCALIPTAL
131,"SÃOCRISTÓVÃO"
131,"PONTEALTA"
131,SESSENTA
131,SÃO LUCAS
131,"MINERLÂNDIA"
131,LARANJAL
131,"JARDIMTIRADENTES"
131,ROMA II
131,"CASA DEPEDRA"
131,"JARDIM VILARICA"
131,"JARDIMAMÁLIA"
131,ÁGUA LIMPA
131,"VOLTAGRANDE"
131,"SÃOGERALDO"
131,ATERRADO
131,CAIEIRA
131,"VILAAMERICANA"
131,"JARDIMNORMÂNDIA"
131,"SANTOAGOSTINHO"
131,"VILA RICA -TRÊSPOÇOS"
132,MONJOLO
132,"SANTALUZIA"
132,LARANJAL
132,"JARDIMCATARINA"
132,"VISTAALEGRE"
132,MARAMBAIA
132,GUAXINDIBA
132,APOLO III
133,"AMENDOEIRA"
133,"SANTAISABEL"
133,PACHECO
133,"SACRAMENTO"
133,LARANJAL
133,"JARDIMALCÂNTARA"
133,ALCÂNTARA
133,LAGOINHA
133,RAUL VEIGA
133,COLUBANDE
133,MIRIAMBI
133,VILA TRÊS
135,CENTRO
135,ROCHA
135,COLUBANDE
135,"GALOBRANCO"
135,"AGUAMINERAL"
135,ALCÂNTARA
135,MUTONDO
135,SAO MIGUEL
135,TRINDADE
135,"NOVACIDADE"
135,ITAÚNA
138,FANCHEM
138,PARAISO
138,CENTRO
138,"SANTACATARINA"
138,CAMARIM
138,"VILAPACAEMBU"
138,"VILA DOTINGUÁ"
138,"VILA SAOJOAO"
138,FLESMAM
138,"SÃOCRISTÓVÃO"
138,"VALDARIOSA"
138,"JARDIMALZIRA"
138,SÃO ROQUE
138,"NOSSASENHORADA GLORIA"
138,"CAMPO DABANHA"
138,BELMONTE
138,"JARDIM DAFONTE"
138,PRIMAVERA
138,"VILAGUIMARÃES"
138,SAO MIGUEL
138,"SANTOEXPEDITO"
138,"INCONFIDENCIA"
138,"VILACENTRAL"
138,"NOVACIDADE"
138,"VILAAMERICANA"
138,"TRESFONTES"
138,"SÃOFRANCISCO"
138,"PARQUESAOBARTOLOMEU"
138,"VILACOIMBRA"
138,SÃO JORGE
139,CENTRO
139,CHACRINHA
139,"NOVABELEM"
139,"ENGENHEIRO PEDREIRA"
139,"CENTROENGPEDREIRA"
139,"PARQUEMUCAJA"
139,"SAO JORGEENGPEDREIRA"
139,"COSME EDAMIAO"
139,PEDRA LISA
139,"JARDIMMARAJOARA"
139,"VILA SANTAAMELIA"
139,"SANTATEREZINHA"
139,"JARDIMAMARALINA"
139,ALECRIM
139,"JARDIMDELAMARE"
139,"VILACENTRAL"
139,RIO D'OURO
141,CENTRO
141,CACHOEIRO
141,"DOUTORMATTOS"
141,SAO LUIZ
141,"SAOJOAQUIM"
141,"USINA DEOUTEIRO"
141,GUARNERE
141,"SAOCAETANO"
141,"SAO PEDRODO PARAISO"
141,"CIMENTOPARAISO"
144,BARRETO
144,"TENENTEJARDIM"
144,"ENGENHOCA"
144,"SANTAROSA"
144,FONSECA
144,CUBANGO
144,BALDEADOR
146,"PRAIA DOSANJOS"
146,"PRAIAGRANDE"
146,CENTRO
146,FIGUEIRA
146,"MONTEALTO"
146,PRAINHA
146,"VILAINDUSTRIAL"
146,"PERNAMBUCA"
147,FRADE
147,BRACUI
147,"SERRAD'AGUA"
147,ENSEADA
147,PONTAL
147,JAPUIBA
147,"VILAHISTORICADEMAMBUCABA"
147,"PRAIABRAVA"
147,"PARQUEMAMBUCABA"
147,"ILHAGRANDE"
147,AREAL
147,"CAMPOBELO"
147,"PARQUEBELEM"
147,"GAMBOA DOBELÉM"
147,BANQUETA
147,"MORRO DACRUZ"
148,FRAGOSO
148,PIABETÁ
148,CENTRO
148,"PARQUEHUMAITA"
148,"VILARECREIO"
148,"RAIZ DASERRA"
148,"PONTEPRETA"
148,"CACHOEIRAGRANDE"
148,"PARQUEESTRELA"
148,"PAUGRANDE"
148,"MAURIMARCIA"
148,"PARQUESANTANA"
148,"VILARAQUEL"
148,"PARQUECAÇULA"
148,"JARDIM SAOPAULO"
148,"JARDIMNAZARENO"
148,"PARQUEPARANHOS"
148,ILHA
148,"PARQUEDOSARTISTAS"
149,CENTRO
149,"PARADAMODELO"
149,"VALE DASPEDRINHAS"
149,"PARADAIDEAL"
149,ORINDI
149,"QUINTAMARIANA"
149,"MONTEOLIVETI"
149,"VILAOLIMPIA"
149,PARAÍSO
149,"PARQUESANTAEUGENIA"
149,CORDOVIL
149,"VALE DOJEQUITIBÁ"
149,ICONHA
149,"CANECAFINA"
150,CENTRO
150,CHATUBA
150,"EDSONPASSOS"
150,"PRESIDENTEJUSCELINO"
150,COREIA
150,"SANTATEREZINHA"
151,SAPÊ
151,"JARDIMIDÁLIA"
151,MANILHA
151,"MORADA DOSOL"
151,"SANTOANTÔNIO"
151,"JARDIMITAMBI"
151,ITAMBI
151,APOLO II
151,"NOVOHORIZONTE"
151,"ALDEIA DAPRATA"
151,VILA BRASIL
151,"SAMBAETIBA"
151,MURIQUI
151,PINHÃO
151,"GRANJASMIRASSOL"
151,PACHECOS
151,AMPLIAÇÃO
151,"VILACORTES"
151,"SANTOANTONIO"
151,"POSSE DOSCOUTINHOS"
151,PEROBAS
151,IPITANGAS
151,CABUÇU
151,CURUZU
151,SÃO JOSÉ
151,VILA VERDE
151,"GRANJASCABUÇU"
151,"GRANDERIO"
151,MARAMBAIA
151,"PARQUEAURORA"
151,"MONTEVERDE"
151,"JARDIMFLUMINENSE"
151,MUTUAPIRA
151,CABUIS
151,"BANDEIRANTE I"
151,"AGROBRASIL"
151,DUQUES
151,"BANDEIRANTE II"
151,BADURECO
151,"VILAGABRIELA"
151,"JOÃOCAETANO"
151,GEBARA
152,"VILAHERMINIAMAIA"
152,"JARDIMBOMPASTOR"
152,"JARDIMGLAUCIA"
152,"SANTAAMELIA"
152,"BAIRRO DASGRACAS"
152,"PARQUESAOBERNARDO"
152,"BARROVERMELHO"
152,NOVA PIAM
152,"PARQUESAO JOSE"
152,"SANTATEREZA"
152,"JARDIMREDENTOR"
152,VILAR NOVO
152,"VILAPAULINE"
153,LOTE XV
153,"JARDIM DOIPE"
153,WONA
153,"PARQUEFLUMINENSE"
153,"PARQUESAOVICENTE"
153,"SARGENTORONCALLI"
153,VASCO
153,"PARQUEAFONSO"
153,"PARQUEESPERANCA"
153,MARINGA
153,"PARQUEAMORIM"
153,"VALE DASMANGUEIRAS"
153,"VARZEA DAALEGRIA"
154,"AREIABRANCA"
154,CENTRO
154,"SAOBERNARDO"
154,PIAM
154,NOVA PIAM
154,PRATA
154,"JARDIMSANTAMARIA"
154,HELIOPOLIS
154,SUBLIME
154,"ANDRADEARAÚJO"
155,ITAIPU
155,XAVANTE
155,HELIOPOLIS
155,"NOVAAURORA"
155,"JARDIMAMERICA"
155,"SAOFRANCISCO"
155,SHANGRILA
155,RECANTUS
155,"ANDRADEARAUJO"
155,BELA VISTA
155,"VILAHELIOPOLIS"
156,FIGUEIRAS
156,"JARDIMCORUMBA"
156,SANTA RITA
156,TINGUA
156,"VILA DECAVA"
156,"NOVABRASILIA"
156,"VILAIGUACUANA"
156,"JOSEBULHOES"
156,RIO D'OURO
156,"ADRIANOPOLIS"
156,"JARDIMSANTA RITA"
156,"AUTODROMO"
156,"PARQUEGENECIANOLUZ"
156,GRAMA
156,JACERUBA
156,"IGUACUVELHO"
156,"CIDADEJARDIMPARQUEESTORIL"
156,"PARQUEALVORADA"
156,"MIGUELCOUTO"
156,AMBAI
156,PRATA
156,"JARDIM BOAESPERANCA"
157,"CRUZEIRODO SUL"
157,"ANDRADEARAUJO"
157,"VILACAMARI"
157,POSSE
157,PRATA
157,"RANCHONOVO"
157,"PARQUEFLORA"
157,KENNEDY
157,CAIOABA
157,"VILAOPERARIA"
157,"JARDIMTROPICAL"
157,"JARDIMESPLANADA"
157,"NOVAAMERICA"
157,"VILAIRACEMA"
157,CARMARY
158,RODILÂNDIA
158,AUSTIN
158,"BAIRROBOTAFOGO"
158,"PONTOCHIC"
158,COBREX
158,POSSE
158,CACUIA
158,GRAJAU
158,CERÂMICA
158,RIACHÃO
158,"CENTRO DEAUSTIN"
158,"INCONFIDÊNCIA"
159,JD CANAAN
159,LUZ
159,"COMENDADOR SOARES"
159,"JARDIMIGUAÇU"
159,"OUROPRETO"
159,"ROSA DOSVENTOS"
159,"JARDIMAYMORÉ"
159,"JARDIMPERNAMBUCO"
161,"BONSUCESSO"
161,RAMOS
162,"BRÁS DEPINA"
162,CORDOVIL
162,"PARADA DELUCAS"
162,PENHA
162,OLARIA
162,"PENHACIRCULAR"
162,RAMOS
167,ANCHIETA
167,"COSTABARROS"
167,PAVUNA
167,"RICARDODEALBUQUERQUE"
169,"HIGIENÓPOLIS"
169,INHAUMA
169,"DELCASTILHO"
169,"MANGUINHOS"
169,"MARIA DAGRAÇA"
169,BENFICA
169,MANGUEIRA
169,TRIAGEM
170,ANDARAÍ
170,VILA ISABEL
170,TIJUCA
170,GRAJAÚ
170,MARACANÃ
172,"MANGUINHOS"
172,RASA
172,CENTRO
172,FERRADURA
172,SAO JOSE
172,"CEMBRACAS"
172,GERIBA
172,VILA VERDE
174,"ALBERTOTORRES"
174,CENTRO
174,"VILADANTAS"
174,"FAZENDAVELHA"
174,"CAIXAD'ÁGUA"
174,TRIÂNGULO
174,"MONTECASTELO"
174,"MOURABRASIL"
174,"PONTE DASGARÇAS"
174,VILA ISABEL
174,BEMPOSTA
174,"HERMOGÊNIO SILVA"
174,PILÕES
174,"PONTOAZUL"
174,PURIZ
174,BOA UNIÃO
174,"CIDADENOVA"
174,"SANTATERESINHA"
174,"CÓRREGOSUJO"
174,"LADEIRADASPALMEIRAS"
174,"JARDIMPRIMAVERA"
174,AMAZONAS
176,"JARDIMAMÉRICA"
176,"PARADA DELUCAS"
176,"VIGÁRIOGERAL"
176,"VILA DAPENHA"
176,"VISTAALEGRE"
176,CORDOVIL
176,"BRÁS DEPINA"
179,"CIDADE DEDEUS"
179,PECHINCHA
179,"RIO DASPEDRAS"
179,ANIL
179,"GARDENIAAZUL"
180,TANQUE
180,TAQUARA
181,CENTRO
181,"SAPEATIBAMIRIM"
181,"CIDADENOVA"
181,SAO MIGUEL
181,ESTACAO
181,PEDREIRA
181,VILA NOVA
181,"IGUABAPEQUENA"
181,"PARQUETAMARIZ"
181,"JARDIMSOLARES"
181,"CANELASCITY"
182,CURICICA
182,TAQUARA
183,CENTRO
183,"RIBEIRÃODE SÃOJOAQUIM"
183,FALCÃO
183,"NOSSASENHORADOROSÁRIO"
183,"BULHÕES(SANTOANTÔNIO)"
183,"CENTRO(PORTOREAL)"
183,"BAIRRO DEFÁTIMA(RIBEIRA DADIVISA)"
183,"JARDIMREAL(JARDIMPORTOREAL)"
183,"FREITASSOARES(PARQUEFREITASSOARES)"
183,"JARDIM DASACÁCIAS"
183,"BNH (NOVOHORIZONTE)"
184,"BALNEÁRIOREMANSO"
184,CANTAGALO
184,OPERÁRIO
184,CENTRO
184,"EXTENSÃODO BOSQUE"
184,"ROCHALEÃO"
184,"BOCA DABARRA"
184,"MAR DONORTE"
184,"JARDIMMARILEA"
184,"NOVAESPERANÇA"
184,"JARDIMCAMPOMAR"
184,"NOVACIDADE"
184,COSTAZUL
184,SERRAMAR
184,RECANTO
184,ÂNCORA
184,"CIDADEBEIRA MAR"
184,RECREIO
184,LIBERDADE
184,"REDUTO DAPAZ"
184,"VILLAGE RIODASOSTRAS"
184,"CIDADEPRAIANA"
184,"PARQUEZABULÃO"
185,CAMPINHO
185,"PRAÇASECA"
185,"JARDIMSULACAP"
185,"VILAVALQUEIRE"
185,"BENTORIBEIRO"
185,"CAMPO DOSAFONSOS"
186,"VENDAVELHA"
186,"PARQUEANALANDIA"
186,"PARQUEARARUAMA"
186,"PARQUEJOSEBONIFACIO"
186,"PARQUENOVO RIO"
186,"PARQUEMIRIM"
186,"JARDIMSUMARE"
186,"VILA SAOJOSE"
186,"VILARFORMOSO"
186,"JARDIMOLAVOBILAC"
186,CENTRO
187,"COELHO DAROCHA"
187,"PRACA DABANDEIRA"
187,"JARDIMMETRÓPOLE"
187,"GRANDERIO"
187,"ENGENHEIRO BELFORD"
187,VILA ROSALI
187,"VILATIRADENTES"
187,"AGOSTINHOPORTO"
188,PENHA
188,"BRÁS DEPINA"
188,"PENHACIRCULAR"
188,"VILA DAPENHA"
188,IRAJÁ
188,"VILAKOSMOS"
188,"VICENTE DECARVALHO"
191,BANCÁRIOS
191,DENDE
191,"FREGUESIA(ILHA DOGOVERNADOR)"
191,MONERÓ
191,TAUÁ
191,GUARABU
191,ZUMBI
191,COCOTÁ
191,CACUIA
191,RIBEIRA
192,FUNDÃO
192,GALEÃO
192,"JARDIMGUANABARA"
192,"PORTUGUESA"
192,"TUBIACANGA"
195,ALTO
195,"BAIRRO DEFÁTIMA"
195,SÃO PEDRO
195,"GRANJAGUARANI"
195,"JARDIMMEUDOM"
195,"MORRO DOTIRO"
195,MEUDON
195,ANDRADAS
195,"PESSEGUEIROS"
195,"PONTENOVA"
195,"PROVIDÊNCIA"
195,"SEBASTIANA"
195,SANTA RITA
195,"SERRA DOCAPIM"
195,"TRÊSCÓRREGOS"
195,"ÁGUAQUENTE"
195,"BONSUCESSO"
195,"VALEALPINO"
195,IMBIÚ
195,"INDEP.MOTAS"
195,"VARGEMGRANDE"
195,"VENDANOVA"
195,VIEIRA
195,"VISTAALEGRE"
195,MOTAS
195,CRUZEIRO
195,"SANTAROSA"
195,"CAMPOLIMPO"
195,"SANTACECÍLIA"
195,BARROSO
195,"FAZENDAALPINA"
195,"CASCATAGUARANI"
196,"CONTENDAS"
196,CENTRO
196,"POUSOALEGRE"
196,ROÇADINHO
196,"PARADAMORELLI"
196,BARRINHA
196,"ÁGUASCLARAS"
196,JAGUARA
196,BOA VISTA
198,PENEDO
198,"CAMPOALEGRE"
198,CENTRO
198,VILA ODETE
198,MAROMBA
198,"VILAFLÓRIDA"
198,COMERCIAL
198,"CAMPOSELÍSEOS"
198,ALAMBARI
198,"FAZENDADA BARRA 2"
198,PARAÍSO
198,"SÃOCAETANO"
198,SERRINHA
198,"ENGENHEIRO PASSOS"
198,CAPELINHA
198,"VISCONDEDE MAUÁ"
198,"VARGEMGRANDE"
198,"VILA DAFUMACA"
198,CABRAL
198,"FAZENDADA BARRA 3"
198,"JARDIMITATIAIA"
198,BAGAGEM
198,"FAZENDADA BARRA"
199,"VILAPROGRESSO"
199,"MARIAPAULA"
199,"ITACOATIARA"
199,ITAIPU
199,"PIRATININGA"
199,"RIO DOOURO"
199,"ENGENHODO MATO"
199,"VÁRZEADAS MOÇAS"
199,"SERRAGRANDE"
199,"CAMBOINHAS"
199,CAFUBÁ
200,"SANTATERESA"
200,"PARQUEPAULICÉIA"
200,"VILA SÃOLUIS"
200,"JARDIMGUANABARA"
200,ITATIAIA
200,PAULICÉIA
200,CENTRO
200,"VILAITAMARATI"
200,"25 DEAGOSTO"
200,"PARQUEDASMISSÕES"
200,"PARQUEBEIRA MAR"
200,"JARDIM 25DE AGOSTO"
200,"PARQUEFELICIDADE"
200,"PARQUESANTAMARTA"
200,BEIRA MAR
201,CENTRO
201,OLINDA
201,CABRAL
201,"NOSSASENHORADE FÁTIMA"
204,CENTRO
204,"CIDADENOVA"
204,"SANTOCRISTO"
204,"SÃOCRISTÓVÃO"
204,CAJU
204,PAQUETÁ
204,SAUDE
211,GÁVEA
211,VIDIGAL
211,"SÃOCONRADO"
211,LAGOA
211,"JARDIMBOTÂNICO"
214,MEIER
214,"LINS DEVASCONCELOS"
214,ROCHA
214,"ENGENHODE DENTRO"
214,"ENGENHONOVO"
214,"TODOS OSSANTOS"
214,RIACHUELO
214,"SÃOFRANCISCOXAVIER"
216,CACHAMBI
216,"DELCASTILHO"
216,"ENGENHODE DENTRO"
216,MEIER
216,"TODOS OSSANTOS"
216,"ENGENHODA RAINHA"
216,INHAUMA
218,VAZ LOBO
218,MADUREIRA
218,TURIAÇÚ
218,IRAJÁ
218,"ROCHAMIRANDA"
218,"MARECHALHERMES"
218,"HONÓRIOGURGEL"
218,"BENTORIBEIRO"
218,"OSWALDOCRUZ"
219,"COELHONETO"
219,COLÉGIO
219,"ROCHAMIRANDA"
219,"HONÓRIOGURGEL"
219,"COSTABARROS"
219,"BARROSFILHO"
219,PAVUNA
221,CABUIS
221,CENTRO
221,PAIOL
221,OLINDA
221,"NOVACIDADE"
221,"NOVOHORIZONTE"
222,"RIOGRANDINA"
222,"CAMPO DOCOELHO"
222,CONQUISTA
222,"SANTACRUZ"
222,"SÃOLOURENÇO"
222,AMPARO
222,"GALDINÓPOLIS"
222,"MACAÉ DECIMA"
222,RIO BONITO
222,"BOAESPERANÇA"
222,LUMIAR
222,"VARGEMALTA"
222,"SÃO PEDRODA SERRA"
222,PRADO
222,"CONSELHEIRO PAULINO"
222,STUCKY
222,CARDINOT
222,"PARQUEMARIATERESA"
222,"JANELA DASANDORINHAS"
222,"JARDIMCALIFÓRNIA"
222,PILÕES
222,"BARRACÃODOSMENDES"
222,SALINAS
222,"COLONIAL61"
222,"JARDINLÂNDIA"
222,OLARIA
222,MURY
222,"CASCATINHA"
222,CÔNEGO
225,"FAZENDACAXIAS"
225,"BOAESPERANCA"
225,"JARDIMACACIAS"
225,DOM BOSCO
225,"JARDIMMARACANA"
225,"CAMPOLINDO"
225,"SANTASOFIA"
225,ECOLOGIA
225,SAO MIGUEL
225,CENTRO
225,"PARQUEJACIMAR"
225,VERA CRUZ
225,"CANTO DORIO"
229,"PRAÇA DABANDEIRA"
229,"RIOCOMPRIDO"
229,ESTÁCIO
229,TIJUCA
229,MARACANÃ
230,"VILAKENNEDY"
230,CATIRI
230,"JARDIMBANGU"
230,BANGU
233,REALENGO
233,"PADREMIGUEL"
233,BANGU
234,REALENGO
234,"MAGALHÃESBASTOS"
238,BANGU
238,"SENADORCAMARÁ"
238,SANTÍSSIMO
238,"AUGUSTOVASCONCELOS"
241,COSMOS
241,PACIENCIA
241,"SANTACRUZ"
242,"CAMPOGRANDE"
242,INHOAÍBA
243,"PEDRA DEGUARATIBA"
243,"BARRA DEGUARATIBA"
243,"ILHA DEGUARATIBA"
243,GUARATIBA
245,"CAMPOGRANDE"
245,INHOAÍBA
246,COSMOS
246,PACIENCIA
246,"CAMPOGRANDE"
246,INHOAÍBA
246,"SANTACRUZ"
254,"AJUDA DEBAIXO"
254,AROEIRAS
254,"SÃO JOSÉDOBARRETO"
254,FRONTEIRA
254,"BARRA DEMACAÉ"
254,"PARQUEAEROPORTO"
254,"JARDIMSANTOANTONIO"
254,"ENGENHODA PRAIA"
254,"BALNEÁRIOLAGOMAR"
255,CENTRO
255,UBAS
255,"ALTOALEGRE"
255,CAXIAS
255,"BARRA DOFURADO"
255,"SANTACATARINA"
255,PENHA
255,"SITIOQUISSAMÃ"
255,RODAGEM
256,ANGELIM
256,"PORTO DOCARRO"
256,GAMBOA
256,JACARÉ
256,PERÓ
256,"SÃOJACINTO"
256,"MONTEALEGRE"
256,"JARDIMESPERANÇA"
256,"JARDIMPERÓ"
256,GURIRI
256,TANGARÁ
256,"CAMPOSNOVOS"
256,BOTAFOGO
256,UNAMAR
256,AQUÁRIOS
256,PACHECO
256,ARAÇÁ
256,"FLORESTINHA"
256,SAMBURÁ
256,"MARIAJOAQUINA"
